cod_tienda,anio,trx,clientes,venta
TEMUC,2026,11565,2343,2328555571.4285717
MAPOC,2025,162464,12798,12779256081.512606
RENAC,2025,81977,5376,4387419329.411765
PMONT,2026,64065,9257,5879318187.3949585
SEREN,2026,50170,4740,3687809621.0084033
MAIPU,2026,49122,7488,3669904448.7394958
VALPA,2026,26875,3031,1595331851.2605042
TEMUC,2025,14411,2769,2835912609.2436976
TALCA,2026,39742,5490,3713148146.2184877
CONCE,2026,91222,8320,6896571986.554623
SANRO,2026,163631,16352,17821708889.07563
RANCA,2026,48982,4392,3136874986.554622
PMONT,2025,65538,9094,6017695221.008404
HUECH,2026,95267,11568,7890147700.0
SEREN,2025,50165,5069,3671800922.689076
VESPU,2026,40552,5811,2737509075.6302524
MAIPU,2025,50349,8298,3941307092.436975
TALCA,2025,38179,5411,3292174931.932773
VALPA,2025,30164,3410,1665373582.3529413
MAPOC,2026,154829,11921,12865252397.478992
CONCE,2025,88297,8210,6353943002.5210085
SANRO,2025,134830,18368,16419945411.764708
RANCA,2025,51774,4382,3466250805.042017
RENAC,2026,76218,5290,4710619864.705882
HUECH,2025,100315,11278,7777638536.974791
VESPU,2025,36806,6841,2550554994.117647
