cod_tienda,pasillo,x,y
SANRO,001,1069,1457
SANRO,002,1069,1673
SANRO,003,1069,1893
SANRO,004,1069,2093
SANRO,005,877,2245
SANRO,006,1189,2245
SANRO,007,1847,1437
SANRO,008,1993,1661
SANRO,009,1993,1893
SANRO,010,1993,2097
SANRO,011,1993,2361
SANRO,012,2425,1889
SANRO,013,1417,917
SANRO,014,1669,917
SANRO,015,1965,917
SANRO,016,2221,917
SANRO,017,2437,917
SANRO,018,2765,665
SANRO,019,3029,665
SANRO,020,3293,665
SANRO,021,3517,665
SANRO,022,3753,665
SANRO,023,4001,665
SANRO,024,4221,513
SANRO,025,4497,665
SANRO,026,3037,1353
SANRO,027,3037,1577
SANRO,028,3037,1829
SANRO,029,3037,2029
SANRO,030,3037,2277
SANRO,031,4057,1353
SANRO,032,4057,1577
SANRO,033,4057,1829
SANRO,034,4057,2029
SANRO,035,4057,2277
SANRO,036,4465,1869
SANRO,037,3801,245
SANRO,039,2725,1593
SANRO,041,1709,657
SANRO,130,913,113
SANRO,150,1357,113
SANRO,151,1084,873
SANRO,152,1705,61
SANRO,180,527,1681
