cod_tienda,sku_a,sku_b,boletas,soporte,confianza_a_b,confianza_b_a,lift,desc_a,desc_b
SANRO,115846,1205,884,0.0054,0.1727,0.2124,6.788,MELAMINA BLANCA VESTO 15MM 2.50 X 1.83,"DUROLAC UNICOLOR BLANCO 2,8MM 1.52 X 2.44"
CONCE,1205,122563,547,0.006,0.3024,0.2291,11.551,"DUROLAC UNICOLOR BLANCO 2,8MM 1.52 X 2.44",MELAMINA BLANCA CLASICA 15MM 1.83 X 2.50 MASISA
SANRO,115846,115847,465,0.00284,0.0908,0.1889,6.039,MELAMINA BLANCA VESTO 15MM 2.50 X 1.83,MELAMINA BLANCA VESTO 18MM 2.50 X 1.83
MAPOC,115846,1205,393,0.00254,0.1918,0.1843,13.929,MELAMINA BLANCA VESTO 15MM 2.50 X 1.83,"DUROLAC UNICOLOR BLANCO 2,8MM 1.52 X 2.44"
SANRO,102517,143601,380,0.00232,0.3846,0.533,88.268,BARRA CLOSET OVALADA CROMADA 3MTS KUTZ,SOPORTE BARRA OVALADA CROMADO 2 UND KUTZ
MAPOC,83297,87998,371,0.0024,0.6225,0.6163,160.097,TAB. ESTRUCTURAL C 2X3X8X0.85X6MT 60X38,TAB. CANAL ESTRUCTURAL U 2X3X0.85X6MT 62X25
MAIPU,115846,1205,368,0.00749,0.191,0.2234,5.696,MELAMINA BLANCA VESTO 15MM 2.50 X 1.83,"DUROLAC UNICOLOR BLANCO 2,8MM 1.52 X 2.44"
SANRO,126115,126116,359,0.00219,0.1537,0.3294,23.081,BISAG. 35 RECTA CLIP C/SUAVE-TORN -2UNDS KUTZ,BISAG. 35 S/CURVA C/SUAVE-CLIP-TORN -2UNDS KUTZ
SANRO,115847,1205,359,0.00219,0.1459,0.0863,5.735,MELAMINA BLANCA VESTO 18MM 2.50 X 1.83,"DUROLAC UNICOLOR BLANCO 2,8MM 1.52 X 2.44"
HUECH,115846,1205,344,0.00361,0.1587,0.2381,10.466,MELAMINA BLANCA VESTO 15MM 2.50 X 1.83,"DUROLAC UNICOLOR BLANCO 2,8MM 1.52 X 2.44"
PMONT,115846,1205,340,0.00531,0.1316,0.3241,8.036,MELAMINA BLANCA VESTO 15MM 2.50 X 1.83,"DUROLAC UNICOLOR BLANCO 2,8MM 1.52 X 2.44"
MAPOC,115847,1205,338,0.00218,0.2247,0.1585,16.321,MELAMINA BLANCA VESTO 18MM 2.50 X 1.83,"DUROLAC UNICOLOR BLANCO 2,8MM 1.52 X 2.44"
SANRO,1205,122563,326,0.00199,0.0783,0.1116,4.386,"DUROLAC UNICOLOR BLANCO 2,8MM 1.52 X 2.44",MELAMINA BLANCA CLASICA 15MM 1.83 X 2.50 MASISA
PMONT,115846,131026,326,0.00509,0.1262,0.3108,7.705,MELAMINA BLANCA VESTO 15MM 2.50 X 1.83,"TAPACANTO PVC BLANCO 22X0,45MM RO 25MT"
HUECH,102517,143601,324,0.0034,0.6011,0.5482,96.897,BARRA CLOSET OVALADA CROMADA 3MTS KUTZ,SOPORTE BARRA OVALADA CROMADO 2 UND KUTZ
SANRO,115846,124032,322,0.00197,0.0629,0.1753,5.602,MELAMINA BLANCA VESTO 15MM 2.50 X 1.83,DUROLAC UNICOLOR BLANCO 3MM 1.83 X 2.50
SEREN,115846,1205,310,0.00618,0.1843,0.2426,7.235,MELAMINA BLANCA VESTO 15MM 2.50 X 1.83,"DUROLAC UNICOLOR BLANCO 2,8MM 1.52 X 2.44"
MAPOC,115846,115847,300,0.00194,0.1464,0.1995,15.072,MELAMINA BLANCA VESTO 15MM 2.50 X 1.83,MELAMINA BLANCA VESTO 18MM 2.50 X 1.83
SANRO,83297,87998,292,0.00178,0.6389,0.6854,245.427,TAB. ESTRUCTURAL C 2X3X8X0.85X6MT 60X38,TAB. CANAL ESTRUCTURAL U 2X3X0.85X6MT 62X25
TALCA,115846,131026,286,0.0072,0.1823,0.4145,10.499,MELAMINA BLANCA VESTO 15MM 2.50 X 1.83,"TAPACANTO PVC BLANCO 22X0,45MM RO 25MT"
RENAC,128645,32823,284,0.00373,0.2659,0.1815,12.951,ESCUADRA PLASTICA BLANCA 50UNDS,TORNILLO AGLOMERADO 3.5 X 15 100 UNIDADES
CONCE,115846,1205,273,0.00299,0.1975,0.1509,9.961,MELAMINA BLANCA VESTO 15MM 2.50 X 1.83,"DUROLAC UNICOLOR BLANCO 2,8MM 1.52 X 2.44"
VESPU,115846,1205,267,0.00658,0.151,0.1854,4.253,MELAMINA BLANCA VESTO 15MM 2.50 X 1.83,"DUROLAC UNICOLOR BLANCO 2,8MM 1.52 X 2.44"
TALCA,102517,143601,266,0.00669,0.5278,0.6318,49.822,BARRA CLOSET OVALADA CROMADA 3MTS KUTZ,SOPORTE BARRA OVALADA CROMADO 2 UND KUTZ
TALCA,115846,1205,264,0.00664,0.1683,0.2821,7.144,MELAMINA BLANCA VESTO 15MM 2.50 X 1.83,"DUROLAC UNICOLOR BLANCO 2,8MM 1.52 X 2.44"
MAIPU,102517,143601,263,0.00535,0.5793,0.643,69.575,BARRA CLOSET OVALADA CROMADA 3MTS KUTZ,SOPORTE BARRA OVALADA CROMADO 2 UND KUTZ
RANCA,115846,1205,262,0.00535,0.1217,0.213,4.848,MELAMINA BLANCA VESTO 15MM 2.50 X 1.83,"DUROLAC UNICOLOR BLANCO 2,8MM 1.52 X 2.44"
