cod_tienda,anio,pasillo,rack,venta
CONCE,2025,001,001-1-01,19464579.831932776
CONCE,2025,001,001-1-02,11559563.865546219
CONCE,2025,001,001-2-01,6181289.075630252
CONCE,2025,001,001-2-02,10062852.100840336
CONCE,2025,002,002-1-01,4191691.5966386558
CONCE,2025,002,002-1-02,315596.6386554622
CONCE,2025,002,002-2-01,12244250.420168068
CONCE,2025,002,002-2-02,13856626.050420169
CONCE,2025,003,003-1-01,10345352.94117647
CONCE,2025,003,003-1-02,13133003.361344539
CONCE,2025,003,003-2-01,5657070.588235294
CONCE,2025,003,003-2-02,4014483.193277311
CONCE,2025,004,004-1-01,7139453.781512605
CONCE,2025,004,004-1-02,4257675.630252101
CONCE,2025,004,004-2-01,5126063.865546219
CONCE,2025,004,004-2-02,8560364.705882354
CONCE,2025,005,005-1-01,4892094.957983194
CONCE,2025,005,005-1-02,7410890.756302522
CONCE,2025,005,005-2-01,9027641.176470589
CONCE,2025,005,005-2-02,10286318.487394959
CONCE,2025,006,006-1-01,3255627.731092437
CONCE,2025,006,006-1-02,3720311.7647058824
CONCE,2025,006,006-1-03,1772086.5546218487
CONCE,2025,006,006-2-01,18783789.07563025
CONCE,2025,006,006-2-02,7972652.941176471
CONCE,2025,007,007-1-01,2572100.8403361347
CONCE,2025,007,007-1-02,2108592.43697479
CONCE,2025,007,007-1-03,2253531.092436975
CONCE,2025,007,007-1-04,2231470.588235294
CONCE,2025,007,007-2-01,6321038.655462185
CONCE,2025,007,007-2-02,6290143.697478992
CONCE,2025,008,008-1-01,8679018.487394959
CONCE,2025,008,008-1-02,6234888.235294118
CONCE,2025,008,008-1-03,18034482.352941178
CONCE,2025,008,008-1-04,11008145.37815126
CONCE,2025,008,008-1-05,4552861.344537815
CONCE,2025,008,008-2-02,8440069.74789916
CONCE,2025,008,008-2-04,871307.56302521
CONCE,2025,008,008-2-05,23065469.74789916
CONCE,2025,008,008-2-06,25956380.67226891
CONCE,2025,008,008-2-07,17253531.092436977
CONCE,2025,008,008-2-08,8648216.80672269
CONCE,2025,008,008-2-09,18689209.24369748
CONCE,2025,008,008-2-10,6236643.697478992
CONCE,2025,009,009-1-01,8511994.957983194
CONCE,2025,009,009-1-02,5243678.1512605045
CONCE,2025,009,009-1-03,5943742.016806723
CONCE,2025,009,009-2-01,11971907.56302521
CONCE,2025,009,009-2-02,28775063.025210086
CONCE,2025,009,009-2-03,12064485.714285715
CONCE,2025,009,009-2-04,6536679.831932774
CONCE,2025,009,009-2-05,1890838.655462185
CONCE,2025,009,009-2-06,22952936.974789917
CONCE,2025,009,009-2-07,12642927.731092438
CONCE,2025,010,010-1-01,12521662.18487395
CONCE,2025,010,010-1-02,15945205.042016808
CONCE,2025,010,010-1-03,12750300.840336135
CONCE,2025,010,010-1-04,7933494.117647059
CONCE,2025,010,010-1-05,3635941.1764705884
CONCE,2025,010,010-2-01,24243714.285714287
CONCE,2025,010,010-2-02,5689805.882352942
CONCE,2025,010,010-2-03,10280263.025210084
CONCE,2025,011,011-1-01,1785253.7815126053
CONCE,2025,011,011-1-02,2741594.117647059
CONCE,2025,011,011-1-03,6591851.260504202
CONCE,2025,011,011-1-04,5884775.630252101
CONCE,2025,011,011-1-05,2362973.949579832
CONCE,2025,011,011-2-01,41256122.689075634
CONCE,2025,011,011-2-02,18783198.31932773
CONCE,2025,011,011-2-03,17048913.44537815
CONCE,2025,011,011-2-04,7326485.714285715
CONCE,2025,011,011-2-05,3034877.31092437
CONCE,2025,011,011-2-06,73740.33613445378
CONCE,2025,012,012-1-01,6835907.56302521
CONCE,2025,012,012-1-02,8465298.31932773
CONCE,2025,012,012-1-03,8785757.983193278
CONCE,2025,012,012-1-04,11197719.327731093
CONCE,2025,012,012-1-05,21419072.268907562
CONCE,2025,012,012-1-07,371672.26890756306
CONCE,2025,012,012-2-01,4023970.5882352944
CONCE,2025,012,012-2-02,18638215.966386557
CONCE,2025,012,012-2-03,16124218.487394959
CONCE,2025,012,012-2-04,22783800.840336137
CONCE,2025,012,012-2-05,26962100.840336137
CONCE,2025,013,013-1-01,33308553.781512607
CONCE,2025,013,013-1-02,66733462.18487395
CONCE,2025,013,013-1-03,7181722.68907563
CONCE,2025,013,013-1-04,2909889.915966387
CONCE,2025,013,013-1-05,20147896.63865546
CONCE,2025,013,013-2-01,1193746.218487395
CONCE,2025,013,013-2-02,67229417.64705883
CONCE,2025,013,013-2-03,63146807.563025214
CONCE,2025,013,013-2-04,19819552.100840338
CONCE,2025,013,013-2-05,54855384.87394958
CONCE,2025,014,014-1-01,3309981.512605042
CONCE,2025,014,014-1-02,12974545.37815126
CONCE,2025,014,014-1-03,4183673.949579832
CONCE,2025,014,014-1-04,10501352.100840336
CONCE,2025,014,014-2-01,15027793.277310925
CONCE,2025,014,014-2-02,24129651.2605042
CONCE,2025,014,014-2-03,9249557.142857144
CONCE,2025,014,014-2-04,6353386.554621849
CONCE,2025,014,014-2-05,5597109.243697479
CONCE,2025,015,015-1-01,2536167.2268907563
CONCE,2025,015,015-1-02,4106674.789915967
CONCE,2025,015,015-1-03,3015372.2689075633
CONCE,2025,015,015-1-04,178903.3613445378
CONCE,2025,015,015-2-01,2502405.042016807
CONCE,2025,015,015-2-02,2068516.8067226892
CONCE,2025,015,015-2-03,843352.9411764706
CONCE,2025,015,015-2-04,3992768.907563025
