cod_tienda,rack,x,y
SANRO,001-2-01,907,1538
SANRO,001-2-02,1073,1538
SANRO,001-2-03,1232,1538
SANRO,001-2-04,1389,1538
SANRO,002-1-01,907,1593
SANRO,002-1-02,1073,1593
SANRO,002-1-03,1232,1593
SANRO,002-1-04,1389,1593
SANRO,002-2-01,863,1778
SANRO,002-2-02,1021,1778
SANRO,002-2-03,1177,1778
SANRO,002-2-04,1346,1778
SANRO,003-1-01,902,1826
SANRO,003-1-02,1059,1826
SANRO,003-1-03,1216,1826
SANRO,003-1-04,1341,1826
SANRO,003-1-05,1446,1793
SANRO,003-2-01,910,1975
SANRO,003-2-02,1073,1975
SANRO,003-2-03,1230,1975
SANRO,003-2-04,1386,1975
SANRO,004-1-01,914,2013
SANRO,004-1-02,1079,2013
SANRO,004-1-03,1236,2013
SANRO,004-1-04,1405,2013
SANRO,005-1-01,995,2232
SANRO,005-1-02,995,2400
SANRO,005-2-01,767,2232
SANRO,005-2-02,768,2400
SANRO,005-2-03,871,2501
SANRO,006-1-01,1275,2223
SANRO,006-1-02,1275,2403
SANRO,006-1-03,1046,2223
SANRO,006-2-01,1046,2403
SANRO,006-2-02,1159,2511
SANRO,007-2-01,1790,1538
SANRO,007-2-02,1953,1538
SANRO,007-2-03,2114,1538
SANRO,007-2-04,2269,1538
SANRO,008-1-01,1750,1593
SANRO,008-1-02,1834,1593
SANRO,008-1-03,1956,1593
SANRO,008-1-04,2109,1593
SANRO,008-1-05,2274,1593
SANRO,008-2-01,1795,1778
SANRO,008-2-02,1955,1778
SANRO,008-2-03,2113,1778
SANRO,008-2-04,2276,1778
SANRO,009-1-01,1794,1826
SANRO,009-1-02,2114,1826
SANRO,009-1-03,2272,1826
SANRO,009-2-01,1784,1975
SANRO,009-2-02,1951,1975
SANRO,009-2-03,2103,1975
SANRO,009-2-04,2268,1975
SANRO,010-1-01,1789,2013
SANRO,010-1-02,1952,2013
SANRO,010-1-03,2110,2013
SANRO,010-1-04,2265,2013
SANRO,010-2-01,1832,2230
SANRO,010-2-02,2089,2213
SANRO,010-2-03,2245,2213
SANRO,011-1-02,1953,2270
SANRO,011-1-03,2112,2270
SANRO,011-1-04,2268,2270
SANRO,011-2-01,1462,2232
SANRO,011-2-02,1462,2408
SANRO,011-2-03,1582,2498
SANRO,011-2-04,1742,2498
SANRO,011-2-05,1864,2498
SANRO,011-2-06,2069,2498
SANRO,011-2-07,2230,2498
SANRO,011-2-08,2386,2498
SANRO,012-1-01,2500,1479
SANRO,012-1-02,2500,1609
SANRO,012-1-03,2500,1763
SANRO,012-1-04,2530,2283
SANRO,012-1-05,2530,2445
SANRO,013-2-01,1525,1060
SANRO,013-2-02,1525,898
SANRO,013-2-03,1525,767
SANRO,014-1-01,1579,1060
SANRO,014-1-02,1579,898
SANRO,014-1-03,1579,767
SANRO,014-2-01,1742,1123
SANRO,014-2-02,1742,957
SANRO,014-2-03,1742,1741
SANRO,015-1-01,1796,1123
SANRO,015-1-02,1796,957
SANRO,015-1-03,1796,1741
SANRO,015-2-01,2076,1163
SANRO,015-2-02,2076,1004
SANRO,015-2-03,2076,842
SANRO,016-1-01,2131,1163
SANRO,016-1-02,2131,1004
SANRO,016-1-03,2131,842
SANRO,016-2-01,2290,1059
SANRO,016-2-02,2290,897
SANRO,016-2-03,2290,771
SANRO,017-1-01,2347,1059
SANRO,017-1-02,2347,897
SANRO,017-1-03,2347,771
SANRO,017-2-01,2508,979
SANRO,017-2-02,2508,821
SANRO,018-1-01,2652,1019
SANRO,018-1-02,2652,862
SANRO,018-1-03,2652,551
SANRO,018-1-04,2652,391
SANRO,018-1-05,2652,231
SANRO,018-2-01,2874,1064
SANRO,018-2-02,2874,991
SANRO,018-2-03,2874,911
SANRO,018-2-04,2874,834
SANRO,018-2-05,2874,755
SANRO,018-2-06,2874,681
SANRO,018-2-07,2874,603
SANRO,018-2-08,2874,532
SANRO,018-2-09,2832,388
SANRO,018-2-10,2832,234
SANRO,019-1-01,2929,1023
SANRO,019-1-02,2929,865
SANRO,019-1-03,2929,712
SANRO,019-1-04,2929,537
SANRO,019-1-05,2929,407
SANRO,019-1-06,3006,260
SANRO,019-1-07,3100,161
SANRO,019-2-01,3116,1011
SANRO,019-2-02,3116,852
SANRO,019-2-03,3116,701
SANRO,019-2-04,3116,542
SANRO,019-2-05,3116,416
SANRO,020-1-01,3180,965
SANRO,020-1-02,3180,863
SANRO,020-1-03,3180,625
SANRO,020-1-04,3180,503
SANRO,020-2-01,3363,1026
SANRO,020-2-02,3363,862
SANRO,020-2-03,3363,704
SANRO,020-2-04,3363,548
SANRO,020-2-05,3363,394
SANRO,021-1-01,3425,1026
SANRO,021-1-02,3425,862
SANRO,021-1-03,3425,704
